username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
contactap2,Official Contact Center @AngkasaPura_2 BUMN pengelola 19 #airport di Indonesia #Airportsgrowfaster,"Tangerang, Indonesia",188,36230,103145,2013-12-20 07:39:27,2022-03-27 08:07:35,0,"Nah udah tau kan? Udah vaksin dosis ketiga belum? Yuk segerakan 😉

#vaksin 
#vaccinationdone✔️ 
#indonesiasehatekonomibangkit 

@AngkasaPura_2 https://t.co/aR9IWpvc5T","[{'text': 'vaksin', 'indices': [67, 74]}, {'text': 'vaccinationdone', 'indices': [76, 92]}, {'text': 'indonesiasehatekonomibangkit', 'indices': [96, 125]}]"
Rakyat_Merdeka9,The Political News Leaders,,479,403,29028,2020-01-08 00:55:37,2022-03-27 07:23:43,4,"Ini Daftar Gejala Long Covid Terbanyak Pada Anak Dan Remaja, Gangguan Mood Termasuk

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/QpUiKupMII","[{'text': 'Booster', 'indices': [105, 113]}, {'text': 'Vaksin', 'indices': [114, 121]}, {'text': 'vaksinasi', 'indices': [122, 132]}]"
EkonomiTerkini,,,38,130,19231,2019-11-06 08:12:46,2022-03-27 07:21:41,4,"Ini Daftar Gejala Long Covid Terbanyak Pada Anak Dan Remaja, Gangguan Mood Termasuk

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/QpUiKupMII","[{'text': 'Booster', 'indices': [105, 113]}, {'text': 'Vaksin', 'indices': [114, 121]}, {'text': 'vaksinasi', 'indices': [122, 132]}]"
Kota_Tangerang,"🙏
Akun Twitter resmi Pemerintah Kota Tangerang
WA 0811-1500-293
-Email (layanan@tangerangkota.go.id)
-IG (tangerangkota)",Kota Tangerang,459,49124,33366,2012-02-06 05:08:32,2022-03-27 06:57:35,0,"Sumber: humas_kota_tangerang

#TangerangAyo #TangerangKota #GatewayofIndonesia #DinasKominfoTNG #TangerangLIVE #TangerangLiveRoom #TLRpastibisa #Tangerang #tangerangtv #tangerangsiaga112 #HUTKotaTangerang29 #29kotatangerang #vaksin #booster #covid19","[{'text': 'TangerangAyo', 'indices': [30, 43]}, {'text': 'TangerangKota', 'indices': [44, 58]}, {'text': 'GatewayofIndonesia', 'indices': [59, 78]}, {'text': 'DinasKominfoTNG', 'indices': [79, 95]}, {'text': 'TangerangLIVE', 'indices': [96, 110]}, {'text': 'TangerangLiveRoom', 'indices': [111, 129]}, {'text': 'TLRpastibisa', 'indices': [130, 143]}, {'text': 'Tangerang', 'indices': [144, 154]}, {'text': 'tangerangtv', 'indices': [155, 167]}, {'text': 'tangerangsiaga112', 'indices': [168, 186]}, {'text': 'HUTKotaTangerang29', 'indices': [187, 206]}, {'text': '29kotatangerang', 'indices': [207, 223]}, {'text': 'vaksin', 'indices': [224, 231]}, {'text': 'booster', 'indices': [232, 240]}, {'text': 'covid19', 'indices': [241, 249]}]"
pikiran_rakyat,"Pikiran Rakyat Media Network
Kirimkan Foto/Video anda ke :
WA/Telegram : 
Iklan: 08112355645
Redaksi: 08112355650
(Pikiran Rakyat)","Bandung, Jawa Barat",24,452001,410452,2009-07-21 18:48:20,2022-03-27 06:41:14,0,"Video Viral! Seorang Siswi SD Diusir Guru lantaran Belum Vaksin Covid-19, Warganet Sakit Hati

https://t.co/vZvUWgTJkL 

#siswi #anak #sd #murid #bocah #guru #usir #vaksin #covid19 #sakithati #netizen #video #viral #indonesia #nasional #prmn #pikiranrakyat #prmnsahabatumkm","[{'text': 'siswi', 'indices': [121, 127]}, {'text': 'anak', 'indices': [128, 133]}, {'text': 'sd', 'indices': [134, 137]}, {'text': 'murid', 'indices': [138, 144]}, {'text': 'bocah', 'indices': [145, 151]}, {'text': 'guru', 'indices': [152, 157]}, {'text': 'usir', 'indices': [158, 163]}, {'text': 'vaksin', 'indices': [164, 171]}, {'text': 'covid19', 'indices': [172, 180]}, {'text': 'sakithati', 'indices': [181, 191]}, {'text': 'netizen', 'indices': [192, 200]}, {'text': 'video', 'indices': [201, 207]}, {'text': 'viral', 'indices': [208, 214]}, {'text': 'indonesia', 'indices': [215, 225]}, {'text': 'nasional', 'indices': [226, 235]}, {'text': 'prmn', 'indices': [236, 241]}, {'text': 'pikiranrakyat', 'indices': [242, 256]}, {'text': 'prmnsahabatumkm', 'indices': [257, 273]}]"
_rakyatmerdeka,official akun Rakyat Merdeka Digital,,4,30,3035,2021-12-23 13:39:54,2022-03-27 05:59:25,4,"Ini Daftar Gejala Long Covid Terbanyak Pada Anak Dan Remaja, Gangguan Mood Termasuk

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/QpUiKupMII","[{'text': 'Booster', 'indices': [85, 93]}, {'text': 'Vaksin', 'indices': [94, 101]}, {'text': 'vaksinasi', 'indices': [102, 112]}, {'text': 'Omicron', 'indices': [113, 121]}, {'text': 'OmicronVirus', 'indices': [122, 135]}, {'text': 'OmicronVariant', 'indices': [136, 151]}, {'text': 'Corona', 'indices': [152, 159]}, {'text': 'coronavirus', 'indices': [160, 172]}, {'text': 'COVID19', 'indices': [173, 181]}, {'text': 'COVID', 'indices': [182, 188]}, {'text': 'RakyatMerdeka', 'indices': [189, 203]}, {'text': 'RMid', 'indices': [204, 209]}]"
Rakyat_Merdeka9,The Political News Leaders,,479,403,29028,2020-01-08 00:55:37,2022-03-27 05:20:42,4,"Risikonya Bisa Meningkat 40 Persen Waspada, Long Covid Diabetes Bisa Tercetus 12 Bulan Setelah Kena Corona

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/RPZ2Cv79s8","[{'text': 'Booster', 'indices': [128, 136]}]"
Rakyat_Merdeka9,The Political News Leaders,,479,403,29028,2020-01-08 00:55:37,2022-03-27 05:20:00,4,"Top News Koran Rakyat Merdeka

Obati Pasien Covid
Pemerintah Belum Bayar 21 T, Kasian Dong Rumah Sakit Ya!

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid

https://t.co/tn61TAq2Zm","[{'text': 'Booster', 'indices': [128, 136]}]"
Rakyat_Merdeka9,The Political News Leaders,,479,403,29028,2020-01-08 00:55:37,2022-03-27 05:19:15,4,"Jaga Selalu Kesehatan Jiwa, Kalau Mau Menangis, Menangis Saja

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid

https://t.co/TZjuCQLX6s","[{'text': 'Booster', 'indices': [83, 91]}, {'text': 'Vaksin', 'indices': [92, 99]}, {'text': 'vaksinasi', 'indices': [100, 110]}, {'text': 'Omicron', 'indices': [111, 119]}, {'text': 'OmicronVirus', 'indices': [120, 133]}]"
EkonomiTerkini,,,38,130,19231,2019-11-06 08:12:46,2022-03-27 05:14:38,4,"Risikonya Bisa Meningkat 40 Persen Waspada, Long Covid Diabetes Bisa Tercetus 12 Bulan Setelah Kena Corona

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/RPZ2Cv79s8","[{'text': 'Booster', 'indices': [128, 136]}]"
