username,tweetcreatedts,text
ArieKakiailatu,2022-03-27 04:01:23,"@ShamsiAli2 pak ustad , 85% p3nduduk indonesia kan islam, kira2 ada 180 juta aktip lakukan ibadah sholat idul fitri dan pulang kampung , ya gakpapa kan diingatkan vaksin &amp; booster , kan juga disediakan gratis oleh pemerintah , jangan res3h gitu laaaaa"
Sutebe5,2022-03-27 04:00:41,"@satyaoke @Fatih_hoppus @kurawa Lu yang batu. Ga ada susahnya ikut booster GRATIS dari pemerintah. Lu tinggal di Indonesia, nurut aja lah. Lu ga rugi juga. MUI udah menghalalkan vaksin, mau apa lagi?

Emang sok rebel lah, kl kena ga kebagian oksigen nyalahin nya pemerintah, pinter emang"
antawin_,2022-03-27 02:33:16,@vzeous Kurang tahu juga sih kalau itu. Setahuku pemerintah nerapin vaksin gratis.
antawin_,2022-03-27 02:27:01,@vzeous Vaksin gratis lah. Gaya hidup yang mahal
vzeous,2022-03-27 02:26:37,@jakeysmiley masa gratis? aku soalnya mau vaksin di RS cuma blm tau apa-apanya
portalyogya,2022-03-27 02:24:42,"Segera daftar online! Pemberian vaksin booster di Yogyakarta kembali diadakan pada akhir Maret 2022 yang bersifat gratis untuk masyarakat umum

#portalyogya 

https://t.co/HaJh8MHZbc"
portalyogya,2022-03-27 02:22:36,"Dinas Kesehatan DIY mengadakan pemberian vaksin booster di Yogyakarta untuk masyarakat umum dan gratis

#portalyogya 

https://t.co/lh5ggl6sJR"
editya77,2022-03-27 00:36:49,"@NamineKomeng @MotoGP Vaksin 1, 2, booster GRATIS..
Prokesnya tinggal 1M aja..
MANUTO...!!!

KAKEAN COCOT !!"
fitriahanifa_,2022-03-27 00:04:25,Hari ini terakhir vaksin gratis bosster beso2 udah bayar
pujianto_hary,2022-03-26 23:55:36,@rick_iiiii @MotoGP Vaksin gratis aja susah .... Apalagi bayar Luh drun
sxoham,2022-03-26 19:59:39,"@hivstory adanya vaksin gratis, gimana?"
ImanPermono,2022-03-26 17:45:12,@adirifi @ShamsiAli2 Vaksin gratis bos..cuan dr mana justru negara bayarin vaksin utk anda semua…trus minta spy anggaran vaksin utk subsidi migor?
Indipeacefully1,2022-03-26 16:53:39,Kalo semua negara luar yang produksi vaksin menawarkan gratis vaksin nya kira2 mana yang mau di ambil Indonesia?
EdwarFeggy,2022-03-26 16:47:46,"Sejumlah program vaksinasi COVID-19 booster DKI menawarkan hadiah minyak goreng. Begini lho curhat ibu-ibu di lokasi vaksinasi, dari perkara minyak samai mudik. https://t.co/pm3ovxuIWx"
mechiko09,2022-03-26 16:19:42,@detikcom Lha knp jg gak vaksin..??? Kan gratis
okezonenews,2022-03-26 16:07:33,Fasilitasi Mudik Gratis Dinilai Bisa Kendalikan Masyarakat untuk Vaksin Booster #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/mvSdvFI3Q6
d_onenews_com,2022-03-26 14:24:17,Warga Rela Mengantri 2 Kilometer Untuk Dapatkan Vaksin Gratis https://t.co/OPsvj8sX8q
Rmanalu7,2022-03-26 13:48:47,"@ShamsiAli2 Gampang kok. Kalau kalian tdk mau vaksin.Semoga kalian kena covid 19. 
Dikasih vaksin gratis menolak protes. Giliran bansos. Kalian plng depan.Ber sukurlah masih ada orang lain yg memikirkan kesehatan mu."
citraatr,2022-03-26 13:44:14,"""mbak ayo besok vaksin booster""
""oh tumben mam ngajakin, kenapa?""

Sudah waktunya booster ❌
Untuk syarat mudik ❌
""Gratis minyak goreng 1 liter"" ✅"
Genpi_Co,2022-03-26 13:28:02,"Jatim Park Grup memberikan tiket gratis berwisata kepada peserta vaksin, cek jadwalnya. #Jatimparkgrup https://t.co/NqUuuiVrCi"
SukoharJOS,2022-03-26 13:24:46,"Polres #Sukoharjo: @PolisiSukoharjo: 'Selama Periode 24 - 31 Maret 2022, Polres Sukoharjo menyerahkan sembako gratis kepada Lansia (59 tahun keatas) yang mengikuti vaksin dosis 1 dan 2 yang digelar di Klinik Kesehatan P… https://t.co/q4t2udJHPH, see more https://t.co/OxQ3jwS5Kb"
Ch4osMyth,2022-03-26 12:48:49,"PPN naik 1% oiii , pada gak tahu kah?

makanya heran aja kok ada yg percaya itu vaksin bener2 pure gratis!

ngga ada yg bener2 menakutkan daripada kata “Gratis”! https://t.co/VZ2sNKE13e"
ulerkon,2022-03-26 12:02:20,"Sejumlah program vaksinasi COVID-19 booster DKI menawarkan hadiah minyak goreng. Begini lho curhat ibu-ibu di lokasi vaksinasi, dari perkara minyak samai mudik. https://t.co/pm3ovxuIWx"
detikcom,2022-03-26 11:56:36,"Sejumlah program vaksinasi COVID-19 booster DKI menawarkan hadiah minyak goreng. Begini lho curhat ibu-ibu di lokasi vaksinasi, dari perkara minyak samai mudik. https://t.co/pm3ovxuIWx"
